File Name	Sample ID	Batch
SD_240808_002	NIST_1950_2	1
SD_240808_004	NIST_1950_4	1
SD_240808_006	NIST_1950_6	1
SD_240808_008	QC1_1_2	1
SD_240808_010	QC1_1_4	1
SD_240808_012	QC1_1_6	1
SD_240808_014	QC2_1_2	1
SD_240808_016	QC2_1_4	1
SD_240808_018	QC2_1_6	1
SD_240808_020	T1011_2	1
SD_240808_022	T1011_4	1
SD_240808_024	T1011_6	1
SD_240808_026	T1091_2	1
SD_240808_028	T1091_4	1
SD_240808_030	T1091_6	1
SD_240808_032	T1038_2	1
SD_240808_034	T1038_4	1
SD_240808_036	T1038_6	1
SD_240808_038	T2016_2	1
SD_240808_040	T2016_4	1
SD_240808_042	T2016_6	1
SD_240808_044	T2044_2	1
SD_240808_046	T2044_4	1
SD_240808_048	T2044_6	1
SD_240808_050	T2011_2	1
SD_240808_052	T2011_4	1
SD_240808_054	T2011_6	1
SD_240808_056	T2051_2	1
SD_240808_058	T2051_4	1
SD_240808_060	T2051_6	1
SD_240808_062	T2056_2	1
SD_240808_064	T2056_4	1
SD_240808_066	T2056_6	1
SD_240808_068	T2092_2	1
SD_240808_070	T2092_4	1
SD_240808_072	T2092_6	1
SD_240808_074	T2072_2	1
SD_240808_076	T2072_4	1
SD_240808_078	T2072_6	1
SD_240808_080	T2036_2	1
SD_240808_082	T2036_4	1
SD_240808_084	T2036_6	1
SD_240808_086	T1044_2	1
SD_240808_088	T1044_4	1
SD_240808_090	T1044_6	1
SD_240808_092	T1051_2	1
SD_240808_094	T1051_4	1
SD_240808_096	T1051_6	1
SD_240808_098	T2089_2	1
SD_240808_100	T2089_4	1
SD_240808_102	T2089_6	1
SD_240808_104	T1048_2	1
SD_240808_106	T1048_4	1
SD_240808_108	T1048_6	1
SD_240808_110	T1028_2	1
SD_240808_112	T1028_4	1
SD_240808_114	T1028_6	1
SD_240808_116	T2091_2	1
SD_240808_118	T2091_4	1
SD_240808_120	T2091_6	1
SD_240808_122	T1092_2	1
SD_240808_124	T1092_4	1
SD_240808_126	T1092_6	1
