File Name	Sample ID	Batch
SD_240808_001	NIST_1950_1	1
SD_240808_003	NIST_1950_3	1
SD_240808_005	NIST_1950_5	1
SD_240808_007	QC1_1_1	1
SD_240808_009	QC1_1_3	1
SD_240808_011	QC1_1_5	1
SD_240808_013	QC2_1_1	1
SD_240808_015	QC2_1_3	1
SD_240808_017	QC2_1_5	1
SD_240808_019	T1011_1	1
SD_240808_021	T1011_3	1
SD_240808_023	T1011_5	1
SD_240808_025	T1091_1	1
SD_240808_027	T1091_3	1
SD_240808_029	T1091_5	1
SD_240808_031	T1038_1	1
SD_240808_033	T1038_3	1
SD_240808_035	T1038_5	1
SD_240808_037	T2016_1	1
SD_240808_039	T2016_3	1
SD_240808_041	T2016_5	1
SD_240808_043	T2044_1	1
SD_240808_045	T2044_3	1
SD_240808_047	T2044_5	1
SD_240808_049	T2011_1	1
SD_240808_051	T2011_3	1
SD_240808_053	T2011_5	1
SD_240808_055	T2051_1	1
SD_240808_057	T2051_3	1
SD_240808_059	T2051_5	1
SD_240808_061	T2056_1	1
SD_240808_063	T2056_3	1
SD_240808_065	T2056_5	1
SD_240808_067	T2092_1	1
SD_240808_069	T2092_3	1
SD_240808_071	T2092_5	1
SD_240808_073	T2072_1	1
SD_240808_075	T2072_3	1
SD_240808_077	T2072_5	1
SD_240808_079	T2036_1	1
SD_240808_081	T2036_3	1
SD_240808_083	T2036_5	1
SD_240808_085	T1044_1	1
SD_240808_087	T1044_3	1
SD_240808_089	T1044_5	1
SD_240808_091	T1051_1	1
SD_240808_093	T1051_3	1
SD_240808_095	T1051_5	1
SD_240808_097	T2089_1	1
SD_240808_099	T2089_3	1
SD_240808_101	T2089_5	1
SD_240808_103	T1048_1	1
SD_240808_105	T1048_3	1
SD_240808_107	T1048_5	1
SD_240808_109	T1028_1	1
SD_240808_111	T1028_3	1
SD_240808_113	T1028_5	1
SD_240808_115	T2091_1	1
SD_240808_117	T2091_3	1
SD_240808_119	T2091_5	1
SD_240808_121	T1092_1	1
SD_240808_123	T1092_3	1
SD_240808_125	T1092_5	1
SD_240808_127	T1036_1	1
SD_240808_129	T1036_3	1
SD_240808_131	T1036_5	1
SD_240808_133	T1056_1	1
SD_240808_135	T1056_3	1
SD_240808_137	T1056_5	1
SD_240808_139	QC1_2_1	1
SD_240808_141	QC1_2_3	1
SD_240808_143	QC1_2_5	1
SD_240808_145	QC2_2_1	1
SD_240808_147	QC2_2_3	1
SD_240808_149	QC2_2_5	1
SD_240808_151	T1089_1	1
SD_240808_153	T1089_3	1
SD_240808_155	T1089_5	1
SD_240808_157	T2048_1	1
SD_240808_159	T2048_3	1
SD_240808_161	T2048_5	1
SD_240808_163	T2087_1	1
SD_240808_165	T2087_3	1
SD_240808_167	T2087_5	1
SD_240808_169	T2039_1	1
SD_240808_171	T2039_3	1
SD_240808_173	T2039_5	1
SD_240808_175	T1063_1	1
SD_240808_177	T1063_3	1
SD_240808_179	T1063_5	1
SD_240808_181	T1049_1	1
SD_240808_183	T1049_3	1
SD_240808_185	T1049_5	1
SD_240808_187	T2080_1	1
SD_240808_189	T2080_3	1
SD_240808_191	T2080_5	1
SD_240808_193	T2063_1	1
SD_240808_195	T2063_3	1
SD_240808_197	T2063_5	1
