platform,analyte,feature,estimate,p.value,p_adj
C18,PFOA,499.934_103.4,0.42429373075284804,2.9263404017744788e-9,4.112009648303261e-6
C18,PFOA,498.9306_101.6,0.41829703320122946,5.123999561748612e-9,4.112009648303261e-6
C18,PFOA,370.8989_46.7,-0.28151003641692524,1.2905538369916014e-4,0.06904463027905067
C18,PFOA,288.2262_141.8,0.2664690804203305,2.994803643555098e-4,0.12016649619764831
C18,PFOA,297.0472_112.5,0.2460153732253262,8.717055435694107e-4,0.2432205141672834
C18,PFOA,422.9125_37.2,-0.24517313505209407,9.092355669804987e-4,0.2432205141672834
C18,PFOA,392.9018_50.7,-0.23480011238414736,0.00151027596020404,0.3144679443606911
C18,PFOA,504.9157_38.5,-0.23402296316537166,0.001567441467218398,0.3144679443606911
C18,PFOA,165.0054_26.3,-0.22606307578227855,0.0022775711549470486,0.3600953094591323
C18,PFOA,324.9143_44.9,-0.22450081412678075,0.0024473081360491373,0.3600953094591323
C18,PFOA,330.9637_46.6,-0.22431764715090305,0.002467942930872558,0.3600953094591323
C18,PFOA,394.9175_43.9,-0.2147316893384667,0.003795189959043193,0.42578966868136964
C18,PFOA,270.2076_154.6,0.20948132504422612,0.004768207881464164,0.42578966868136964
C18,PFOA,572.4154_42.1,-0.2093966011484394,0.004785595897288251,0.42578966868136964
C18,PFOA,354.925_38.3,-0.20917516422943339,0.0048313107289096905,0.42578966868136964
C18,PFOA,143.9786_59.6,-0.20835928578728966,0.005003145888973756,0.42578966868136964
C18,PFOA,353.2699_177.2,0.20674693209995007,0.005358927329753731,0.42578966868136964
C18,PFOA,725.8879_41.2,-0.2066554581724789,0.005379774801249709,0.42578966868136964
C18,PFOA,685.8809_41.7,-0.20664064150055342,0.005383158436648718,0.42578966868136964
C18,PFOA,497.4201_40.9,-0.20387567016554756,0.006048955381345064,0.42578966868136964
C18,PFOA,171.1027_229.8,-0.2037076744641936,0.006091682863857796,0.42578966868136964
C18,PFOA,419.3202_180.9,-0.20209642753378362,0.006515374822409685,0.42578966868136964
C18,PFOA,666.3996_123.7,0.20168732429420372,0.006627051920090182,0.42578966868136964
C18,PFOA,460.8893_46.3,-0.20102279612354693,0.006812095459452073,0.42578966868136964
C18,PFOA,436.9281_37.4,-0.20029531552127872,0.0070199346592104625,0.42578966868136964
C18,PFOA,288.9531_36.1,-0.19993031187777954,0.007126327294453309,0.42578966868136964
C18,PFOA,356.9407_36.1,-0.19978292849343623,0.007169692348908273,0.42578966868136964
C18,PFOA,455.9167_38.8,-0.19801519064059156,0.007708420463661913,0.42578966868136964
C18,PFOA,123.0484_33.5,-0.1976319434836544,0.007829855555789241,0.42578966868136964
C18,PFOA,339.2_111.3,-0.1972310878644529,0.007958685395913451,0.42578966868136964
C18,PFOA,569.9677_102.4,0.1957105394075723,0.008464646985719006,0.4382502713573872
C18,PFOA,306.1348_113.3,0.19433925900474905,0.008945187814503156,0.4486570763211739
C18,PFOA,278.9501_55.6,0.19265938429026364,0.009566685106529344,0.4549766085701542
C18,PFOA,220.9656_37.2,-0.19198644905538956,0.009826167110105245,0.4549766085701542
C18,PFOA,461.7512_115.9,0.1917428795189234,0.009921608286576572,0.4549766085701542
C18,PFOA,634.8412_44.6,-0.19058257240562362,0.01038759779059378,0.4609585396368302
C18,PFOA,118.051_32.1,-0.18975723451809845,0.010730711028536916,0.4609585396368302
C18,PFOA,286.9374_39.3,-0.18767833594535235,0.011639606272570059,0.4609585396368302
C18,PFOA,151.0624_31.2,-0.18646910308670178,0.012198867645589157,0.4609585396368302
C18,PFOA,410.8914_49.5,-0.18562790809889443,0.01260170974678362,0.4609585396368302
C18,PFOA,357.9441_37.1,-0.1853867375868917,0.012719337744758278,0.4609585396368302
C18,PFOA,222.8682_31.2,-0.18273634972827885,0.01407688633178098,0.4609585396368302
