"match_category_1","mz","match_category_3","theoretical_mz","lm_id","name","formula","monoisotopic_mass","adduct","adduct_mass","time","mz_min","mz_max","num_pres_all_samples","num_pres_biological_samples","median_cv","peak_score","qscore","max_intensity","sample_id","intensity"
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240808_002...20",2807042.1
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240808_002...21",21.4206192708681
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240808_008",22.0271357979362
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240808_014",22.3109687577511
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240808_020",22.8450611013337
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240808_026",21.8103754683355
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240808_032",13.9103429185315
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240808_038",21.3420328242519
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240808_044",21.5181709147943
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240808_050",22.5921616802107
